                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.8408,                0.48107,                 1.2718,                0.99221,                      1,                  0.995,                0.80838,                0.74483,                0.34004,                 1.3384,              0.0005446,              0.0005446,              0.0005446
                     48,                 0.8586,                0.46513,                 1.2781,                0.99665,                      1,                  0.995,                0.81592,                 0.7357,                0.33224,                 1.3186,              0.0005347,              0.0005347,              0.0005347
                     49,                0.86263,                0.49282,                 1.2688,                0.98502,                      1,                  0.995,                0.79755,                0.81221,                0.37697,                 1.3787,              0.0005248,              0.0005248,              0.0005248
                     50,                0.81007,                0.45112,                 1.2695,                0.99381,                      1,                  0.995,                0.81424,                0.78015,                0.36653,                 1.3611,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.8559,                0.47619,                 1.2789,                0.99136,                      1,                  0.995,                0.80612,                0.78528,                0.35775,                 1.3847,               0.000505,               0.000505,               0.000505
                     52,                0.81625,                0.46792,                 1.2448,                0.99008,                      1,                  0.995,                0.80843,                0.76962,                0.34167,                 1.3686,              0.0004951,              0.0004951,              0.0004951
                     53,                0.79974,                0.44986,                  1.227,                 0.9913,                      1,                  0.995,                0.82232,                0.71209,                0.32669,                 1.3086,              0.0004852,              0.0004852,              0.0004852
                     54,                 0.7873,                0.43443,                 1.2836,                0.99589,                      1,                  0.995,                0.81531,                0.71539,                0.32733,                 1.3216,              0.0004753,              0.0004753,              0.0004753
                     55,                 0.7821,                0.44026,                  1.279,                0.99396,                      1,                  0.995,                0.82691,                0.70929,                0.33388,                 1.3036,              0.0004654,              0.0004654,              0.0004654
                     56,                0.83245,                0.49263,                 1.3013,                0.99365,                      1,                  0.995,                0.84303,                0.68406,                0.32218,                 1.2856,              0.0004555,              0.0004555,              0.0004555
                     57,                0.74303,                0.40497,                 1.2248,                0.99479,                      1,                  0.995,                0.83756,                0.68151,                 0.3082,                 1.2949,              0.0004456,              0.0004456,              0.0004456
                     58,                0.77733,                0.43913,                 1.2168,                0.99689,                      1,                  0.995,                0.83673,                0.67256,                0.30157,                 1.2758,              0.0004357,              0.0004357,              0.0004357
                     59,                0.76516,                0.45403,                 1.2462,                 0.9957,                      1,                  0.995,                0.83081,                0.68091,                0.30371,                 1.2824,              0.0004258,              0.0004258,              0.0004258
                     60,                0.75992,                0.42394,                 1.2181,                0.99426,                      1,                  0.995,                0.83035,                0.68782,                0.29774,                  1.285,              0.0004159,              0.0004159,              0.0004159
                     61,                0.80206,                0.46349,                 1.2809,                0.99479,                      1,                  0.995,                0.83146,                0.69487,                 0.3014,                 1.2758,               0.000406,               0.000406,               0.000406
                     62,                 0.7455,                0.40106,                 1.2068,                0.99502,                      1,                  0.995,                 0.8387,                0.64975,                0.30339,                 1.2367,              0.0003961,              0.0003961,              0.0003961
                     63,                 0.8074,                 0.4811,                 1.2529,                0.99533,                      1,                  0.995,                0.84777,                0.64841,                  0.298,                 1.2455,              0.0003862,              0.0003862,              0.0003862
                     64,                0.74302,                0.43073,                 1.2209,                0.99599,                      1,                  0.995,                0.85426,                0.64875,                0.29401,                 1.2416,              0.0003763,              0.0003763,              0.0003763
                     65,                0.73718,                0.42597,                 1.1836,                0.99505,                      1,                  0.995,                0.85186,                0.65679,                 0.3126,                 1.2481,              0.0003664,              0.0003664,              0.0003664
                     66,                0.71425,                0.40968,                 1.2265,                0.99428,                      1,                  0.995,                0.83927,                0.64997,                0.31213,                 1.2372,              0.0003565,              0.0003565,              0.0003565
                     67,                0.71467,                0.38916,                 1.1918,                0.99572,                      1,                  0.995,                0.84757,                0.62501,                0.30478,                 1.2274,              0.0003466,              0.0003466,              0.0003466
                     68,                0.70413,                0.38999,                 1.1743,                0.99628,                      1,                  0.995,                0.85822,                0.59265,                0.28935,                 1.2003,              0.0003367,              0.0003367,              0.0003367
                     69,                0.78023,                0.42448,                 1.2149,                 0.9964,                      1,                  0.995,                0.85258,                0.62151,                0.29101,                 1.2191,              0.0003268,              0.0003268,              0.0003268
                     70,                0.70651,                0.39632,                 1.2058,                0.99596,                      1,                  0.995,                0.85171,                0.61626,                0.28461,                 1.2111,              0.0003169,              0.0003169,              0.0003169
                     71,                0.72068,                0.39081,                 1.1696,                0.99404,                      1,                  0.995,                0.86155,                0.59557,                 0.2787,                 1.1947,               0.000307,               0.000307,               0.000307
                     72,                0.75241,                0.43919,                 1.2655,                0.99413,                      1,                  0.995,                0.86491,                0.59566,                0.28044,                 1.1988,              0.0002971,              0.0002971,              0.0002971
                     73,                0.69858,                0.38989,                 1.1701,                0.99462,                      1,                  0.995,                 0.8546,                0.62884,                 0.2787,                 1.2277,              0.0002872,              0.0002872,              0.0002872
                     74,                0.75361,                0.43552,                 1.2044,                0.99574,                      1,                  0.995,                0.86649,                0.57773,                 0.2587,                 1.1812,              0.0002773,              0.0002773,              0.0002773
                     75,                0.69795,                0.39025,                 1.1418,                0.99538,                      1,                  0.995,                0.87554,                0.56821,                0.25541,                 1.1645,              0.0002674,              0.0002674,              0.0002674
                     76,                0.67158,                0.38712,                    1.2,                0.99538,                      1,                  0.995,                0.87489,                0.56381,                0.25418,                 1.1621,              0.0002575,              0.0002575,              0.0002575
                     77,                0.68008,                0.36128,                  1.124,                0.99556,                      1,                  0.995,                0.87504,                0.56065,                0.25793,                 1.1595,              0.0002476,              0.0002476,              0.0002476
                     78,                0.67506,                0.35196,                  1.136,                0.99552,                      1,                  0.995,                0.86992,                0.57364,                0.26423,                 1.1657,              0.0002377,              0.0002377,              0.0002377
                     79,                0.64679,                0.34901,                  1.148,                0.99645,                      1,                  0.995,                0.87051,                0.58163,                 0.2641,                 1.1673,              0.0002278,              0.0002278,              0.0002278
                     80,                0.65764,                0.36099,                  1.152,                 0.9952,                      1,                  0.995,                0.88038,                0.56026,                0.25197,                 1.1476,              0.0002179,              0.0002179,              0.0002179
                     81,                0.68242,                0.35003,                 1.2054,                0.99551,                      1,                  0.995,                0.87767,                0.55946,                0.25521,                 1.1562,               0.000208,               0.000208,               0.000208
                     82,                0.65814,                 0.3257,                  1.188,                0.99556,                      1,                  0.995,                0.88317,                0.54304,                0.25251,                 1.1362,              0.0001981,              0.0001981,              0.0001981
                     83,                0.61718,                0.34894,                 1.1053,                0.99469,                      1,                  0.995,                0.88227,                0.53598,                 0.2436,                 1.1245,              0.0001882,              0.0001882,              0.0001882
                     84,                0.62033,                0.34273,                 1.1405,                 0.9945,                      1,                  0.995,                 0.8867,                0.52408,                0.24165,                 1.1164,              0.0001783,              0.0001783,              0.0001783
                     85,                0.64322,                0.34728,                 1.1052,                0.99546,                      1,                  0.995,                0.89229,                 0.5186,                0.24126,                 1.1124,              0.0001684,              0.0001684,              0.0001684
                     86,                0.61746,                0.33328,                 1.1245,                0.99636,                      1,                  0.995,                0.88857,                0.51048,                0.23663,                 1.1072,              0.0001585,              0.0001585,              0.0001585
                     87,                0.64301,                0.36116,                 1.1804,                0.99481,                      1,                  0.995,                0.88656,                0.50359,                 0.2332,                 1.1002,              0.0001486,              0.0001486,              0.0001486
                     88,                0.62849,                0.33352,                 1.1333,                0.99571,                      1,                  0.995,                0.88928,                0.50127,                0.22846,                 1.0968,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.6271,                0.34905,                 1.1396,                0.99628,                      1,                  0.995,                0.90042,                0.49588,                0.22694,                 1.0925,              0.0001288,              0.0001288,              0.0001288
                     90,                0.57932,                0.31378,                 1.0845,                0.99643,                      1,                  0.995,                0.90495,                0.48641,                0.22702,                 1.0865,              0.0001189,              0.0001189,              0.0001189
                     91,                0.56831,                0.31547,                 1.1758,                0.99584,                      1,                  0.995,                0.90684,                0.47711,                0.22649,                 1.0812,               0.000109,               0.000109,               0.000109
                     92,                0.52801,                0.26416,                 1.1326,                0.99534,                      1,                  0.995,                0.89712,                0.48043,                0.22821,                 1.0804,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.54075,                0.27013,                 1.1415,                0.99518,                      1,                  0.995,                0.89837,                0.47945,                0.23076,                 1.0798,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.52855,                0.26189,                 1.1228,                 0.9952,                      1,                  0.995,                0.90322,                0.47624,                0.23288,                 1.0805,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.51019,                0.25631,                 1.1277,                0.99477,                      1,                  0.995,                0.90332,                0.47553,                0.22647,                 1.0798,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.49942,                0.25845,                 1.0972,                0.99522,                      1,                  0.995,                0.90525,                0.46831,                0.22164,                 1.0724,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.50313,                0.24923,                 1.1407,                0.99537,                      1,                  0.995,                0.90795,                0.45768,                0.21905,                 1.0631,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.52411,                0.25495,                 1.0956,                0.99553,                      1,                  0.995,                0.91338,                0.45465,                0.21553,                 1.0591,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.52066,                0.25223,                 1.1618,                0.99555,                      1,                  0.995,                0.91605,                0.45103,                0.21613,                 1.0557,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.49593,                0.25198,                 1.1517,                0.99576,                      1,                  0.995,                0.91709,                0.44733,                0.21405,                 1.0531,               1.99e-05,               1.99e-05,               1.99e-05
